budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
12000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",,34549,[],en,Max Keeble's Big Move,"Max Keeble, the victim of his 7th grade class, plots revenge when he learns he's moving; it backfires when he doesn't move after all.",1.0818219999999998,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Karz Entertainment"", ""id"": 4194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",05-10-01,17292381,86.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,His World. His Rules.,Max Keeble's Big Move,5.4,33
24000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.hitmanmovie.com/,1620,"[{""id"": 782, ""name"": ""assassin""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 2051, ""name"": ""intelligence""}, {""id"": 2111, ""name"": ""soviet union""}, {""id"": 2139, ""name"": ""russia""}, {""id"": 2698, ""name"": ""celibacy""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 2908, ""name"": ""secret society""}, {""id"": 3720, ""name"": ""power""}, {""id"": 3997, ""name"": ""power takeover""}, {""id"": 5440, ""name"": ""adversary""}, {""id"": 6086, ""name"": ""government""}, {""id"": 13129, ""name"": ""execution""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 15127, ""name"": ""killer""}, {""id"": 41645, ""name"": ""based on video game""}, {""id"": 215141, ""name"": ""secret formula""}]",en,Hitman,"The best-selling videogame, Hitman, roars to life with both barrels blazing in this hardcore action-thriller starring Timothy Olyphant. A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",42.669304,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Anka Film"", ""id"": 867}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""Daybreak Productions"", ""id"": 11746}, {""name"": ""Prime Universe Productions"", ""id"": 11747}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",21-11-07,99965753,89.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""sr"", ""name"": ""Srpski""}]",Released,Assassin 47,Hitman,5.9,966
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,30309,"[{""id"": 10183, ""name"": ""independent film""}, {""id"": 187056, ""name"": ""woman director""}]",en,Real Women Have Curves,"There's more to Ana Garcia than meets the eye. Should she leave home, go to college and experience life? Or stay home, get married, and keep working in her sister’s struggling garment factory? It may seem like an east decision, but for 18 year-old Ana, every choice she makes this summer will change her life. At home, she is bound to a mother who wants her to become someone she's not. But at school, she's encouraged by a teacher who sees her potential and adored by a boyfriend who loves her for who she is. Right now, Ana may be making clothes for less shapely women. But she's about to discover that real women take chances, have flaws, embrace life, and above all, have curves!",1.026243,[],[],01-01-02,0,86.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Real Women Have Curves,5.8,19
21000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.diaryofawimpykidmovie.com/,60307,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 13035, ""name"": ""middle school""}]",en,Diary of a Wimpy Kid: Rodrick Rules,"Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",14.329891,"[{""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Color Force"", ""id"": 5420}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",25-03-11,72417394,99.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Welcome to the next grade,Diary of a Wimpy Kid: Rodrick Rules,6.3,238
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,378200,"[{""id"": 622, ""name"": ""bet""}, {""id"": 5564, ""name"": ""match""}, {""id"": 9639, ""name"": ""playboy""}, {""id"": 10050, ""name"": ""fear of commitment""}, {""id"": 12392, ""name"": ""best friend""}]",en,The Perfect Match,"Terrence J. stars as Charlie, a playboy who's convinced that relationships are dead. His two best friends, Donald Faison and Robert C. Riley, bet him that if he sticks to one woman for one month, he's bound to get attached. Charlie denies this until he crosses paths with the beautiful and mysterious Eva, played by singer/actress Cassie. They may agree to a casual affair, but eventually Charlie is questioning whether he may actually want more.",3.8108269999999997,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Jorva Entertainment Productions"", ""id"": 72634}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11-03-16,0,96.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,t's what everyone's looking for,The Perfect Match,5.2,42
0,"[{""id"": 18, ""name"": ""Drama""}]",http://flashofgenius.net/,14914,"[{""id"": 5565, ""name"": ""biography""}]",en,Flash of Genius,"In this David vs. Goliath drama based on a true story, college professor Robert Kearns (Greg Kinnear) goes up against the giants of the auto industry when they fail to give him credit for inventing intermittent windshield wipers. Kearns doggedly pursues recognition for his invention, as well as the much-deserved financial rewards for the sake of his wife (Lauren Graham) and six kids.",3.3502970000000003,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Strike Entertainment"", ""id"": 655}, {""name"": ""Intermittent Productions"", ""id"": 8849}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",07-09-08,0,119.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Corporations have time, money, and power on their side. All Bob Kearns had was the truth.",Flash of Genius,6.3,59
0,"[{""id"": 18, ""name"": ""Drama""}]",http://www.thebookthief.com/,203833,"[{""id"": 1956, ""name"": ""world war ii""}, {""id"": 3096, ""name"": ""book""}, {""id"": 11064, ""name"": ""nazi germany""}, {""id"": 11508, ""name"": ""jewish""}]",en,The Book Thief,"While subjected to the horrors of WWII Germany, young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home, a Jewish refuge is being sheltered by her adoptive parents.",57.84156,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",08-11-13,76586316,131.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,Courage beyond words.,The Book Thief,7.4,1486
48000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",,9896,"[{""id"": 585, ""name"": ""casino""}, {""id"": 795, ""name"": ""running""}, {""id"": 8666, ""name"": ""preisgeld""}, {""id"": 33626, ""name"": ""millionaire""}, {""id"": 167043, ""name"": ""road movie""}]",en,Rat Race,"In an ensemble film about easy money, greed, manipulation and bad driving, a Las Vegas casino tycoon entertains his wealthiest high rollers -- a group that will bet on anything -- by pitting six ordinary people against each other in a wild dash for $2 million jammed into a locker hundreds of miles away. The tycoon and his wealthy friends monitor each racer's every move to keep track of their favorites. The only rule in this race is that there are no rules.",18.60049,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Fireworks Pictures"", ""id"": 3857}, {""name"": ""Alphaville Films"", ""id"": 11462}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",30-07-01,85498534,112.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,563 miles. 9 people. $2 million. 1001 problems!,Rat Race,6.0,518
37000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",http://dolphintalemovie.warnerbros.com/index.html,62837,"[{""id"": 630, ""name"": ""dolphin""}, {""id"": 5202, ""name"": ""boy""}, {""id"": 11060, ""name"": ""trap""}, {""id"": 13088, ""name"": ""summer""}, {""id"": 41605, ""name"": ""tail""}]",en,Dolphin Tale,A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.,6.638389999999999,"[{""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""Arc Productions"", ""id"": 10280}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",23-09-11,95404397,113.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Inspired by the amazing true story of Winter.,Dolphin Tale,6.7,163
250000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",,431,"[{""id"": 483, ""name"": ""riddle""}, {""id"": 1646, ""name"": ""autism""}, {""id"": 2147, ""name"": ""claustrophobia""}, {""id"": 2158, ""name"": ""maze""}, {""id"": 2846, ""name"": ""prime number""}, {""id"": 2847, ""name"": ""entrapment""}, {""id"": 6009, ""name"": ""mathematics""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 191494, ""name"": ""numbers""}, {""id"": 206850, ""name"": ""canuxploitation""}]",en,Cube,Seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out.,44.656151,"[{""name"": ""T\u00e9l\u00e9film Canada"", ""id"": 806}, {""name"": ""Feature Film Project"", ""id"": 21953}, {""name"": ""Cube Libre"", ""id"": 22207}, {""name"": ""Harold Greenberg Fund"", ""id"": 22208}, {""name"": ""Odeon Films"", ""id"": 22209}, {""name"": ""Ontario Film Development Corporation"", ""id"": 22210}, {""name"": ""Viacom Canada"", ""id"": 22211}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}]",09-09-97,501818,90.0,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Don't look for a reason... Look for a way out.,Cube,6.9,1069
